INFO - i,L,Iapp,MIN_output,pre,y: 0, 128483, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 1, 343008, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 2, 76630, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 3, 48615, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 4, 73441, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 5, 137777, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 6, 87724, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 7, 117987, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 8, 191079, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 9, 116370, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 10, 237941, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 11, 314668, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 12, 147556, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 13, 125415, 300.0, [[89.13938]], [1], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 14, 182756, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 15, 319602, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 16, 331146, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 17, 517864, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 18, 277023, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 19, 519653, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 20, 491198, 300.0, [[89.13938]], [0], [0]
INFO - i,L,Iapp,MIN_output,pre,y: 21, 329004, 300.0, [[89.13938]], [0], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 22, 124640, 300.0, [[89.13938]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 23, 0, 40, [[89.13938]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 24, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 25, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 26, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 27, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 28, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 29, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 30, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 31, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 32, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 33, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 34, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 35, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 36, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 37, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 38, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 39, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 40, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 41, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 42, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 43, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 44, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 45, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 46, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 47, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 48, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 49, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 50, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 51, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 52, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 53, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 54, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 55, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 56, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 57, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 58, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 59, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 60, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 61, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 62, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 63, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 64, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 65, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 66, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 67, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 68, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 69, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 70, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 71, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 72, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 73, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 74, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 75, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 76, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 77, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 78, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 79, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 80, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 81, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 82, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 83, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 84, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 85, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 86, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 87, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 88, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 89, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 90, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 91, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 92, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 93, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 94, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 95, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 96, 0, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 97, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 98, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 99, 2327, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 100, 2222, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 101, 1560, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 102, 0, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 103, 1188, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 104, 1799, 40, [[-8.473038]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 105, 3385, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 106, 3528, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 107, 4010, 40, [[54.429966]], [1], [1]
INFO - i,L,Iapp,MIN_output,pre,y: 108, 3364, 40, [[54.429966]], [1], [1]
