INFO - 10.617361068725586, [0]
INFO - 8.104636192321777, [0]
INFO - 12.884622573852539, [0]
INFO - 12.559515953063965, [0]
INFO - 12.664167404174805, [0]
INFO - 11.72850513458252, [0]
INFO - 11.707845687866211, [0]
INFO - 11.679738998413086, [0]
INFO - 10.004054069519043, [0]
INFO - 10.170001983642578, [0]
INFO - 8.505948066711426, [0]
INFO - 9.179265022277832, [0]
INFO - 10.706764221191406, [0]
INFO - 11.084355354309082, [0]
INFO - 9.614285469055176, [0]
INFO - 9.089158058166504, [0]
INFO - 7.4337944984436035, [0]
INFO - 6.30324125289917, [0]
INFO - 6.078990459442139, [0]
INFO - 6.332100868225098, [0]
INFO - 6.746515274047852, [0]
INFO - 8.547253608703613, [1]
INFO - 12.464803695678711, [1]
INFO - 15.22510051727295, [1]
INFO - 14.987687110900879, [1]
INFO - 15.350326538085938, [1]
INFO - 15.223916053771973, [1]
INFO - 15.220612525939941, [1]
INFO - 15.32013988494873, [1]
INFO - 15.467767715454102, [1]
INFO - 15.518722534179688, [1]
INFO - 15.395049095153809, [1]
INFO - 15.2052583694458, [1]
INFO - 15.063750267028809, [1]
INFO - 15.106491088867188, [1]
INFO - 14.89626407623291, [1]
INFO - 14.867022514343262, [1]
INFO - 14.923547744750977, [1]
INFO - 15.091277122497559, [1]
INFO - 15.157577514648438, [1]
INFO - 14.85161304473877, [1]
INFO - 14.917703628540039, [1]
INFO - 15.109175682067871, [1]
INFO - 14.764570236206055, [1]
INFO - 14.57391357421875, [1]
INFO - 14.216976165771484, [1]
INFO - 14.45637321472168, [1]
INFO - 15.625876426696777, [1]
INFO - 15.857901573181152, [1]
INFO - 15.623113632202148, [1]
INFO - 15.356536865234375, [1]
INFO - 15.535355567932129, [1]
INFO - 15.001709938049316, [1]
INFO - 16.238666534423828, [1]
INFO - 15.853863716125488, [1]
INFO - 16.13026237487793, [1]
INFO - 15.986848831176758, [1]
INFO - 16.05978775024414, [1]
INFO - 16.027568817138672, [1]
INFO - 16.09664535522461, [1]
INFO - 16.15536880493164, [1]
INFO - 15.760526657104492, [1]
INFO - 15.761794090270996, [1]
INFO - 16.233776092529297, [1]
INFO - 16.05669593811035, [1]
INFO - 16.03276824951172, [1]
INFO - 16.14643669128418, [1]
INFO - 16.05385971069336, [1]
INFO - 15.930988311767578, [1]
INFO - 16.181194305419922, [1]
INFO - 15.846579551696777, [1]
INFO - 15.903169631958008, [1]
INFO - 15.836609840393066, [1]
INFO - 16.094024658203125, [1]
INFO - 16.03900718688965, [1]
INFO - 15.976696968078613, [1]
INFO - 15.712942123413086, [1]
INFO - 16.071393966674805, [1]
INFO - 16.048870086669922, [1]
INFO - 16.186918258666992, [1]
INFO - 16.19061851501465, [1]
INFO - 16.26505470275879, [1]
INFO - 16.24576187133789, [1]
INFO - 15.870928764343262, [1]
INFO - 15.809306144714355, [1]
INFO - 15.108270645141602, [1]
INFO - 15.507610321044922, [1]
INFO - 15.457710266113281, [1]
INFO - 15.372761726379395, [1]
INFO - 15.638908386230469, [1]
INFO - 15.94412612915039, [1]
INFO - 16.264434814453125, [1]
INFO - 15.82404613494873, [1]
INFO - 15.85618782043457, [1]
INFO - 16.284833908081055, [1]
INFO - 16.646854400634766, [1]
INFO - 16.365942001342773, [1]
INFO - 16.521141052246094, [1]
INFO - 15.379521369934082, [1]
INFO - 14.808128356933594, [1]
INFO - 15.427610397338867, [1]
INFO - 15.98900032043457, [1]
INFO - 15.944269180297852, [1]
INFO - 15.88262939453125, [1]
INFO - 15.952455520629883, [1]
INFO - 15.8798828125, [1]
INFO - 15.977741241455078, [1]
INFO - 16.04140853881836, [1]
INFO - 15.702726364135742, [1]
INFO - 15.66911506652832, [1]
INFO - 15.519533157348633, [1]
INFO - 15.370747566223145, [1]
INFO - 15.255367279052734, [1]
INFO - 14.669211387634277, [1]
INFO - 14.556352615356445, [1]
INFO - 14.385765075683594, [0]
INFO - 14.384516716003418, [0]
INFO - 13.581391334533691, [0]
INFO - 12.795446395874023, [0]
INFO - 10.946650505065918, [0]
INFO - 8.892267227172852, [0]
INFO - 5.940379619598389, [0]
INFO - 6.311130046844482, [0]
INFO - 7.178788661956787, [0]
INFO - 10.172530174255371, [0]
INFO - 9.37823486328125, [0]
INFO - 7.525147438049316, [0]
INFO - 12.316329956054688, [0]
INFO - 11.807511329650879, [0]
INFO - 11.76424789428711, [0]
INFO - 11.862919807434082, [0]
INFO - 10.441422462463379, [0]
INFO - 9.221624374389648, [0]
INFO - 14.165635108947754, [0]
INFO - 13.431894302368164, [0]
INFO - 12.090434074401855, [0]
INFO - 9.526172637939453, [0]
INFO - 12.062576293945312, [0]
INFO - 14.721787452697754, [1]
INFO - 14.228477478027344, [1]
INFO - 13.471574783325195, [1]
INFO - 12.097539901733398, [1]
INFO - 12.270530700683594, [1]
INFO - 13.202699661254883, [1]
INFO - 11.257543563842773, [1]
INFO - 8.292991638183594, [1]
INFO - 13.249871253967285, [1]
INFO - 11.837660789489746, [1]
INFO - 12.131707191467285, [1]
INFO - 13.013641357421875, [1]
INFO - 9.825319290161133, [1]
INFO - 12.363534927368164, [1]
INFO - 13.633262634277344, [1]
INFO - 14.63648796081543, [1]
INFO - 15.25112247467041, [1]
INFO - 14.354700088500977, [1]
INFO - 12.853060722351074, [1]
INFO - 15.082367897033691, [1]
INFO - 16.82369613647461, [1]
INFO - 16.8398380279541, [1]
INFO - 16.722213745117188, [1]
INFO - 16.44918441772461, [1]
INFO - 16.752031326293945, [1]
INFO - 16.577579498291016, [1]
INFO - 16.286376953125, [1]
INFO - 15.996391296386719, [1]
INFO - 15.761152267456055, [1]
INFO - 15.509169578552246, [1]
INFO - 14.887761116027832, [1]
INFO - 14.464692115783691, [1]
INFO - 13.354211807250977, [1]
INFO - 12.66324520111084, [1]
INFO - 16.376792907714844, [1]
INFO - 16.160720825195312, [1]
INFO - 15.87435245513916, [1]
INFO - 15.601221084594727, [1]
INFO - 15.198630332946777, [1]
INFO - 15.013660430908203, [1]
INFO - 14.328413963317871, [1]
INFO - 13.167791366577148, [1]
INFO - 11.301797866821289, [1]
INFO - 9.919965744018555, [1]
INFO - 15.397322654724121, [1]
INFO - 14.516853332519531, [1]
INFO - 13.887645721435547, [1]
INFO - 12.943778991699219, [1]
INFO - 13.14609146118164, [1]
INFO - 15.929712295532227, [1]
INFO - 15.607585906982422, [1]
INFO - 15.427711486816406, [1]
INFO - 15.020428657531738, [1]
INFO - 14.746760368347168, [1]
INFO - 12.322736740112305, [1]
INFO - 13.464561462402344, [1]
INFO - 14.766864776611328, [1]
INFO - 14.667603492736816, [1]
INFO - 14.584586143493652, [1]
INFO - 13.14497184753418, [0]
INFO - 11.769680976867676, [0]
INFO - 10.618010520935059, [0]
